Ref,Val,Package,PosX,PosY,Rot,Side
"C1","2.2u","C_0201_0603Metric",106.255000,-121.400000,0.000000,top
"C2","2.2u","C_0201_0603Metric",101.055000,-117.800000,0.000000,top
"C3","22u","C_0201_0603Metric",105.100000,-123.655000,-90.000000,top
"C4","22u","C_0201_0603Metric",114.455000,-118.300000,0.000000,top
"C5","22u","C_0201_0603Metric",109.500000,-106.555000,-90.000000,top
"C6","2.2u","C_0201_0603Metric",121.600000,-109.755000,-90.000000,top
"C7","100n","C_0201_0603Metric",127.400000,-109.755000,-90.000000,top
"C8","100n","C_0201_0603Metric",128.300000,-109.755000,-90.000000,top
"C9","100n","C_0201_0603Metric",133.900000,-113.555000,-90.000000,top
"C10","100n","C_0201_0603Metric",133.210000,-113.555000,-90.000000,top
"C11","100n","C_0201_0603Metric",131.900000,-113.755000,-90.000000,top
"C12","100n","C_0201_0603Metric",131.955000,-115.160000,0.000000,top
"C13","100n","C_0201_0603Metric",131.955000,-115.900000,0.000000,top
"C14","100n","C_0201_0603Metric",131.955000,-116.600000,0.000000,top
"C15","1u","C_0201_0603Metric",118.355000,-115.250000,180.000000,top
"C16","1u","C_0201_0603Metric",118.355000,-114.500000,180.000000,top
"C17","18pF","C_0201_0603Metric",126.100000,-125.055000,-90.000000,top
"C18","18pF","C_0201_0603Metric",120.700000,-125.780000,-90.000000,top
"C19","10u","C_0201_0603Metric",132.155000,-126.400000,0.000000,top
"D1","GREEN","LED_0201_0603Metric",101.455000,-105.000000,0.000000,top
"D2","RED","LED_0201_0603Metric",105.755000,-101.100000,0.000000,top
"J1","USB_C_Receptacle_USB2.0","USB_C_Receptacle_XKB_U262-16XN-4BVC11",102.875000,-112.080000,-90.000000,top
"J2","USB_B_Micro","USB_Micro-B_GCT_USB3076-30-A",110.580000,-124.880000,0.000000,top
"J3","AudioJack4","Jack_3.5mm_KoreanHropartsElec_PJ-320D-4A_Horizontal",153.550000,-111.750000,180.000000,top
"J4","Conn_01x04","PinHeader_1x04_P2.54mm_Vertical",140.680000,-108.400000,-90.000000,top
"J5","Micro_SD_Card_Det2","microSD_HC_Molex_104031-0811",140.360000,-121.150000,180.000000,top
"J6","Conn_02x14_Counter_Clockwise","PinHeader_2x14_P2.54mm_Vertical",146.200000,-102.460000,-90.000000,top
"L1","2.2u","L_0402_1005Metric",107.100000,-106.200000,0.000000,top
"L2","2.2u","L_0402_1005Metric",113.515000,-117.200000,0.000000,top
"L3","2.2u","L_0402_1005Metric",104.315000,-122.200000,0.000000,top
"R1","11k","R_0201_0603Metric",106.145000,-117.900000,180.000000,top
"R2","11k","R_0201_0603Metric",112.500000,-115.845000,90.000000,top
"R3","11k","R_0201_0603Metric",110.200000,-101.855000,-90.000000,top
"R4","49.9k","R_0201_0603Metric",106.155000,-118.900000,0.000000,top
"R5","36k","R_0201_0603Metric",112.980000,-114.300000,0.000000,top
"R6","8.2k","R_0201_0603Metric",110.300000,-103.955000,-90.000000,top
"R7","2.2k","R_0201_0603Metric",118.255000,-113.800000,0.000000,top
"R8","2.2k","R_0201_0603Metric",116.855000,-113.800000,0.000000,top
"R9","49.9k","R_0201_0603Metric",151.100000,-119.245000,90.000000,top
"RN1","47k","R_Array_Convex_5x0603",149.000000,-123.240000,0.000000,top
"SW1","SW_Push","SW_Push_1P1T_NO_Vertical_Wuerth_434133025816",156.250000,-120.425000,0.000000,top
"U1","F1C200s","QFN-88_EP_10x10_Pitch0.4mm",125.000000,-116.100000,-90.000000,top
"U2","CH340E","MSOP-10_3x3mm_P0.5mm",110.250000,-119.950000,0.000000,top
"U3","JW5211","SOT-23-5",103.337500,-119.850000,0.000000,top
"U4","JW5211","SOT-23-5",110.062500,-115.850000,0.000000,top
"U5","JW5211","SOT-23-5",107.700000,-103.900000,0.000000,top
"U6","W25Q256JWPIQ","WSON-8-1EP_6x5mm_P1.27mm_EP3.4x4.3mm",115.200000,-109.795000,0.000000,top
"Y1","24MHz","Crystal_SMD_2520-4Pin_2.5x2.0mm",123.525000,-125.400000,0.000000,top
