Designator,Mid X,Mid Y,Rotation,Layer
C1,106.255,-121.4,0.0,top
C10,133.21,-113.555,270.0,top
C11,131.9,-113.755,270.0,top
C12,131.955,-115.16,0.0,top
C13,131.955,-115.9,0.0,top
C14,131.955,-116.6,0.0,top
C15,118.355,-115.25,180.0,top
C16,118.355,-114.5,180.0,top
C17,126.1,-125.055,270.0,top
C18,120.7,-125.78,270.0,top
C19,132.155,-126.4,0.0,top
C2,101.055,-117.8,0.0,top
C3,105.1,-123.655,270.0,top
C4,114.455,-118.3,0.0,top
C5,109.5,-106.555,270.0,top
C6,121.6,-109.755,270.0,top
C7,127.4,-109.755,270.0,top
C8,128.3,-109.755,270.0,top
C9,133.9,-113.555,270.0,top
D1,101.455,-105.0,0.0,top
D2,105.755,-101.1,0.0,top
J1,102.875,-112.08,270.0,top
J2,110.58,-124.88,0.0,top
J3,153.55,-111.75,180.0,top
J4,140.68,-108.4,270.0,top
J5,140.36,-121.15,180.0,top
J6,146.2,-102.46,270.0,top
L1,107.1,-106.2,0.0,top
L2,113.515,-117.2,0.0,top
L3,104.315,-122.2,0.0,top
R1,106.145,-117.9,180.0,top
R2,112.5,-115.845,90.0,top
R3,110.2,-101.855,270.0,top
R4,106.155,-118.9,0.0,top
R5,112.98,-114.3,0.0,top
R6,110.3,-103.955,270.0,top
R7,118.255,-113.8,0.0,top
R8,116.855,-113.8,0.0,top
R9,151.1,-119.245,90.0,top
RN1,149.0,-123.24,0.0,top
SW1,156.25,-120.425,0.0,top
U1,125.0,-116.1,270.0,top
U2,110.25,-119.95,0.0,top
U3,103.3375,-119.85,0.0,top
U4,110.0625,-115.85,0.0,top
U5,107.7,-103.9,0.0,top
U6,115.2,-109.795,0.0,top
Y1,123.525,-125.4,0.0,top
